"","Taxa","Yield","Protein","Oil","Seedsize","Height","Maturity"
"88","DS11-02133",5487.470382,40.87014251,22.22536524,16.84946995,109.2899607,1037.989938
"89","DS11-02135",5764.220382,42.62014251,21.50036524,18.87446995,117.0042464,1042.656605
"91","DS11-02140",5347.595382,42.52014251,22.05036524,18.17446995,113.2899607,1039.156605
"92","DS11-02141",5834.595382,42.37014251,21.90036524,17.79946995,115.1471036,1041.489938
"93","DS11-02142",5215.970382,41.22014251,22.90036524,19.29946995,101.1471036,1037.989938
"94","DS11-02143",5459.345382,42.27014251,23.00036524,18.79946995,110.4328179,1037.823271
"95","DS11-02149",5579.220382,42.59514251,22.67536524,18.42446995,105.0042464,1020.878135
"96","DS11-02150",5655.864993,44.42498698,22.99157575,17.67330011,119.8613893,1041.989938
"97","DS11-02151",5623.595382,40.27014251,23.32536524,19.54946995,109.4328179,1036.823271
"98","DS11-02152",5455.345382,42.19514251,22.22536524,17.02446995,113.1471036,1026.735278
"99","DS11-02154",5593.095382,42.07014251,22.52536524,20.12446995,106.7185322,1024.163849
"100","DS11-02155",5364.095382,42.84514251,22.02536524,17.27446995,112.0042464,1034.489938
"101","DS11-02156",5541.912864,41.37014251,23.37536524,19.09946995,102.0600796,1039.24743
"102","DS11-02157",5484.341435,42.34514251,22.85036524,19.27446995,91.72674624,1063.655453
"103","DS11-02158",5278.912864,42.34514251,22.65036524,15.89946995,100.8934129,1038.74743
"104","DS11-02159",5081.484293,41.69514251,22.60036524,17.84946995,125.3934129,1065.855453
"105","DS11-02161",5279.484293,42.42014251,22.60036524,18.92446995,114.2267462,1041.914097
"106","DS11-02162",5458.055721,41.94514251,22.67536524,20.42446995,100.2267462,1042.24743
"107","DS11-02163",5403.484293,42.79514251,21.37536524,16.42446995,100.8934129,1060.655453
"108","DS11-02164",5639.198578,41.49514251,23.30036524,20.47446995,111.8934129,1039.414097
"109","DS11-02165",5075.198578,42.52014251,23.00036524,17.99946995,103.0600796,1040.414097
"110","DS11-02166",5581.770007,42.17014251,22.50036524,18.54946995,100.3934129,1043.914097
"111","DS11-02167",5520.912864,42.64514251,21.97536524,15.84946995,100.7267462,1037.414097
"112","DS11-02168",5568.341435,40.69514251,22.47536524,17.47446995,105.7267462,1036.74743
"113","DS11-02169",5623.770007,40.92014251,23.12536524,17.82446995,109.2267462,1043.080764
"115","DS11-02173",5775.484293,41.39514251,22.72536524,19.87446995,109.0600796,1062.455453
"116","DS11-02174",5642.484293,42.77014251,22.67536524,20.24946995,107.7267462,1039.914097
"118","DS11-02177",5441.770007,42.34514251,22.45036524,19.44946995,111.0600796,1044.580764
"119","DS11-02178",5620.912864,41.87014251,23.02536524,21.84946995,112.0600796,1042.914097
"120","DS11-02180",5075.62715,42.19514251,22.20036524,17.97446995,111.5600796,1041.580764
"121","DS11-02181",5521.341435,40.39514251,23.00036524,17.14946995,102.7267462,1044.080764
"122","DS11-02182",5406.198578,42.62014251,22.22536524,17.24946995,97.39341291,1042.580764
"123","DS11-02183",5440.484293,41.74514251,23.17536524,19.89946995,112.0600796,1063.455453
"124","DS11-02186",5650.198578,41.09514251,23.32536524,17.94946995,104.3934129,1041.24743
"125","DS11-02187",5816.198578,41.49514251,22.60036524,19.02446995,103.7267462,1043.080764
"126","DS11-02188",5493.912864,40.94514251,23.20036524,20.34946995,98.72674624,1060.455453
"127","DS11-02190",5719.055721,40.84514251,23.20036524,19.02446995,107.5600796,1065.655453
"128","DS11-02191",5792.62715,40.87014251,22.85036524,17.74946995,101.8934129,1042.580764
"5515","Parent_IA3023",5142.307175,41.32742912,22.25379858,18.53017788,107.8342922,1016.189712
"5526","TN05-3027",5142.307175,41.32742912,22.25379858,18.53017788,107.8342922,1016.189712
"5488","4J105-3-4",5142.307175,41.32742912,22.25379858,18.53017788,107.8342922,1016.189712
"129","DS11-03003",5526.716113,39.66365637,21.58239023,19.11878296,104.0626238,1001.607434
"130","DS11-03004",5550.016113,40.38032304,21.06572356,20.28544963,117.8404016,1005.2741
"131","DS11-03005",5665.916113,38.23032304,22.46572356,21.51878296,116.5070683,1005.385211
"132","DS11-03006",5139.516113,39.8469897,21.66572356,18.51878296,97.06262384,1000.496322
"133","DS11-03007",5610.516113,39.33032304,21.28239023,18.53544963,97.06262384,1002.162989
"134","DS11-03008",5577.216113,40.2969897,21.31572356,17.18544963,116.2848461,1004.2741
